Key,Status,Summary,Updated,Due,Priority,RawPath,SummaryPath,AttachmentCount,FormCount,EscalationReady
HEAL-33150,In Progress,Cx Case Record Response,2026-05-12T20:17:27.645-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33150.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33150.md,5,1,
HEAL-32413,Escalated to Engineering,Need privilege change on SF so I can update lab vendor on lab draw opps after approved,2026-04-07T11:07:05.542-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-32413.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-32413.md,7,1,
HEAL-32623,Escalated to Engineering,DEA and DL don't populate in the pharmacy order ,2026-04-07T11:06:49.841-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-32623.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-32623.md,1,1,
HEAL-32789,Escalated to Engineering,Consents are not automatically sending to all new patients,2026-03-30T18:24:03.822-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-32789.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-32789.md,0,1,
HEAL-32826,On Hold,PAM Informed Consent Cases for Shopify Orders,2026-04-07T15:30:15.712-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-32826.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-32826.md,0,1,
HEAL-33040,On Hold,Pt not synced to Shopify,2026-04-20T12:11:53.493-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33040.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33040.md,1,1,
HEAL-33049,Escalated to Engineering,PO dates wrong on Cre8 pharmacy when generating refill PO's,2026-04-17T20:30:54.720-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33049.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33049.md,0,1,
HEAL-33054,Escalated,Create a cardone ventures employee checkbox,2026-05-12T15:16:06.397-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33054.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33054.md,0,1,
HEAL-33066,Waiting for support,Price Book Creation,2026-05-15T13:43:08.044-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33066.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33066.md,2,1,
HEAL-33072,Escalated to Engineering,Opportunity staging,2026-05-14T17:07:53.207-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33072.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33072.md,0,1,
HEAL-33089,Escalated to Engineering,Precision Nutrition error,2026-05-06T14:46:02.259-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33089.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33089.md,0,1,
HEAL-33116,Escalated,"Adding ""Scheduled by"" into Consult Opp",2026-05-11T19:00:44.808-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33116.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33116.md,0,1,
HEAL-33316,Waiting for customer,cannot generate pharmacy order ,2026-05-18T16:28:30.431-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33316.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33316.md,1,1,
HEAL-33364,Resolved,Credit employee account,2026-05-13T11:59:45.436-0400,,,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33364.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33364.md,0,1,
HEAL-33369,In Progress,SF Report Help: Time to Schedule,2026-05-08T12:25:27.002-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33369.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33369.md,0,1,
HEAL-33391,In Progress,Need access to view all orders in SF,2026-05-11T16:42:42.350-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33391.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33391.md,1,1,
HEAL-33399,Waiting for support,CX Case flow process fail,2026-04-30T19:33:46.487-0400,,Medium,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/raw/HEAL-33399.json,C:/Users/sean/Projects/Salesforce/DigitalDreams/CaseOps/outputs/jira/summary/HEAL-33399.md,1,1,
